
2024/09/03 (12:24:41) | ===> btop++ v.1.3.2
2024/09/03 (12:24:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/03 (12:24:52) | ===> btop++ v.1.3.2
2024/09/03 (12:24:52) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/03 (12:24:55) | ===> btop++ v.1.3.2
2024/09/03 (12:24:55) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/03 (12:42:57) | ===> btop++ v.1.3.2
2024/09/03 (12:42:57) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/03 (12:42:59) | ===> btop++ v.1.3.2
2024/09/03 (12:42:59) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2024/09/03 (13:03:17) | ERROR: Exception during Config::unlock() : unordered_map::at: key not found

2024/09/03 (13:03:45) | ===> btop++ v.1.3.2
2024/09/03 (13:03:45) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/03 (21:15:23) | ===> btop++ v.1.3.2
2024/09/03 (21:15:23) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/04 (13:38:48) | ===> btop++ v.1.3.2
2024/09/04 (13:38:48) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/04 (14:31:27) | ===> btop++ v.1.3.2
2024/09/04 (14:31:27) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/04 (14:49:19) | ===> btop++ v.1.3.2
2024/09/04 (14:49:19) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/06 (09:49:42) | ===> btop++ v.1.3.2
2024/09/06 (09:49:42) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/06 (12:09:21) | ===> btop++ v.1.3.2
2024/09/06 (12:09:21) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/06 (14:11:29) | ===> btop++ v.1.3.2
2024/09/06 (14:11:29) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/13 (10:57:07) | ===> btop++ v.1.3.2
2024/09/13 (10:57:07) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/18 (11:31:43) | ===> btop++ v.1.3.2
2024/09/18 (11:31:43) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/19 (14:46:35) | ===> btop++ v.1.3.2
2024/09/19 (14:46:35) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2024/09/23 (20:10:07) | ===> btop++ v.1.3.2
